Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Total_Income,Income_Group,Loan_Status_Label,Credit_Risk
LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N,4887,Medium,Rejected,Low Risk
LP001041,Male,Yes,0,Graduate,,2600,3500,115,360,1,Urban,Y,6100,High,Approved,Low Risk
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N,7660,High,Rejected,High Risk
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y,11580,Very High,Approved,Low Risk
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N,4511,Medium,Rejected,High Risk
LP001050,Male,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N,5282,High,Rejected,High Risk
LP001052,Male,Yes,1,Graduate,,3717,2925,151,360,1,Semiurban,N,6642,High,Rejected,Low Risk
LP001066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y,9560,High,Approved,Low Risk
LP001068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y,5052,High,Approved,Low Risk
LP001073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y,5266,High,Approved,Low Risk
LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N,1442,Low,Rejected,Low Risk
LP001087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y,5833,High,Approved,Low Risk
LP001091,Male,Yes,1,Graduate,,4166,3369,201,360,1,Urban,N,7535,High,Rejected,Low Risk
LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N,3167,Medium,Rejected,Low Risk
LP001097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N,4692,Medium,Rejected,Low Risk
LP001098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y,5167,High,Approved,Low Risk
LP001100,Male,No,3+,Graduate,No,12500,3000,320,360,1,Rural,N,15500,Very High,Rejected,Low Risk
LP001106,Male,Yes,0,Graduate,No,2275,2067,128,360,1,Urban,Y,4342,Medium,Approved,Low Risk
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,360,0,Urban,N,3158,Medium,Rejected,High Risk
LP001112,Female,Yes,0,Graduate,No,3667,1459,144,360,1,Semiurban,Y,5126,High,Approved,Low Risk
LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y,11376,Very High,Approved,Low Risk
LP001116,Male,No,0,Not Graduate,No,3748,1668,110,360,1,Semiurban,Y,5416,High,Approved,Low Risk
LP001119,Male,No,0,Graduate,No,3600,0,80,360,1,Urban,N,3600,Medium,Rejected,Low Risk
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y,3013,Medium,Approved,Low Risk
LP001123,Male,Yes,0,Graduate,No,2400,0,75,360,1,Urban,Y,2400,Low,Approved,Low Risk
LP001131,Male,Yes,0,Graduate,No,3941,2336,134,360,1,Semiurban,Y,6277,High,Approved,Low Risk
LP001136,Male,Yes,0,Not Graduate,Yes,4695,0,96,360,1,Urban,Y,4695,Medium,Approved,Low Risk
LP001137,Female,No,0,Graduate,No,3410,0,88,360,1,Urban,Y,3410,Medium,Approved,Low Risk
LP001138,Male,Yes,1,Graduate,No,5649,0,44,360,1,Urban,Y,5649,High,Approved,Low Risk
LP001144,Male,Yes,0,Graduate,No,5821,0,144,360,1,Urban,Y,5821,High,Approved,Low Risk
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N,6085,High,Rejected,High Risk
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y,6275,High,Approved,Low Risk
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y,3572,Medium,Approved,Low Risk
LP001157,Female,No,0,Graduate,No,3086,0,120,360,1,Semiurban,Y,3086,Medium,Approved,Low Risk
LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N,4230,Medium,Rejected,Low Risk
LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N,4616,Medium,Rejected,Low Risk
LP001186,Female,Yes,1,Graduate,Yes,11500,0,286,360,0,Urban,N,11500,Very High,Rejected,High Risk
LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y,3875,Medium,Approved,Low Risk
LP001195,Male,Yes,0,Graduate,No,2132,1591,96,360,1,Semiurban,Y,3723,Medium,Approved,Low Risk
LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N,5566,High,Rejected,Low Risk
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y,10330,Very High,Approved,Low Risk
LP001199,Male,Yes,2,Not Graduate,No,3357,2859,144,360,1,Urban,Y,6216,High,Approved,Low Risk
LP001205,Male,Yes,0,Graduate,No,2500,3796,120,360,1,Urban,Y,6296,High,Approved,Low Risk
LP001206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y,3029,Medium,Approved,Low Risk
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N,6058,High,Rejected,High Risk
LP001213,Male,Yes,1,Graduate,No,4945,0,128,360,0,Rural,N,4945,Medium,Rejected,High Risk
LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N,4166,Medium,Rejected,High Risk
LP001225,Male,Yes,0,Graduate,No,5726,4595,258,360,1,Semiurban,N,10321,Very High,Rejected,Low Risk
LP001228,Male,No,0,Not Graduate,No,3200,2254,126,180,0,Urban,N,5454,High,Rejected,High Risk
LP001233,Male,Yes,1,Graduate,No,10750,0,312,360,1,Urban,Y,10750,Very High,Approved,Low Risk
LP001238,Male,Yes,3+,Not Graduate,Yes,7100,0,125,60,1,Urban,Y,7100,High,Approved,Low Risk
LP001241,Female,No,0,Graduate,No,4300,0,136,360,0,Semiurban,N,4300,Medium,Rejected,High Risk
LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y,6274,High,Approved,Low Risk
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y,3750,Medium,Approved,Low Risk
LP001248,Male,No,0,Graduate,No,3500,0,81,300,1,Semiurban,Y,3500,Medium,Approved,Low Risk
LP001250,Male,Yes,3+,Not Graduate,No,4755,0,95,360,0,Semiurban,N,4755,Medium,Rejected,High Risk
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y,7040,High,Approved,Low Risk
LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N,3750,Medium,Rejected,Low Risk
LP001256,Male,No,0,Graduate,No,3750,4750,176,360,1,Urban,N,8500,High,Rejected,Low Risk
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N,4022,Medium,Rejected,Low Risk
LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N,7167,High,Rejected,High Risk
LP001264,Male,Yes,3+,Not Graduate,Yes,3333,2166,130,360,1,Semiurban,Y,5499,High,Approved,Low Risk
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y,3846,Medium,Approved,Low Risk
LP001266,Male,Yes,1,Graduate,Yes,2395,0,128,360,1,Semiurban,Y,2395,Low,Approved,Low Risk
LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N,3259,Medium,Rejected,Low Risk
LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,1,Semiurban,N,8250,High,Rejected,Low Risk
LP001275,Male,Yes,1,Graduate,No,3988,0,50,240,1,Urban,Y,3988,Medium,Approved,Low Risk
LP001279,Male,No,0,Graduate,No,2366,2531,136,360,1,Semiurban,Y,4897,Medium,Approved,Low Risk
LP001280,Male,Yes,2,Not Graduate,No,3333,2000,99,360,1,Semiurban,Y,5333,High,Approved,Low Risk
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y,4618,Medium,Approved,Low Risk
LP001289,Male,No,0,Graduate,No,8566,0,210,360,1,Urban,Y,8566,High,Approved,Low Risk
LP001310,Male,Yes,0,Graduate,No,5695,4167,175,360,1,Semiurban,Y,9862,High,Approved,Low Risk
LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y,5858,High,Approved,Low Risk
LP001318,Male,Yes,2,Graduate,No,6250,5654,188,180,1,Semiurban,Y,11904,Very High,Approved,Low Risk
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y,5093,High,Approved,Low Risk
LP001322,Male,No,0,Graduate,No,4133,0,122,360,1,Semiurban,Y,4133,Medium,Approved,Low Risk
LP001325,Male,No,0,Not Graduate,No,3620,0,25,120,1,Semiurban,Y,3620,Medium,Approved,Low Risk
LP001326,Male,No,0,Graduate,,6782,0,128,360,1,Urban,N,6782,High,Rejected,Low Risk
LP001327,Female,Yes,0,Graduate,No,2484,2302,137,360,1,Semiurban,Y,4786,Medium,Approved,Low Risk
LP001333,Male,Yes,0,Graduate,No,1977,997,50,360,1,Semiurban,Y,2974,Medium,Approved,Low Risk
LP001334,Male,Yes,0,Not Graduate,No,4188,0,115,180,1,Semiurban,Y,4188,Medium,Approved,Low Risk
LP001343,Male,Yes,0,Graduate,No,1759,3541,131,360,1,Semiurban,Y,5300,High,Approved,Low Risk
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y,7551,High,Approved,Low Risk
LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y,8649,High,Approved,Low Risk
LP001350,Male,Yes,0,Graduate,No,13650,0,128,360,1,Urban,Y,13650,Very High,Approved,Low Risk
LP001356,Male,Yes,0,Graduate,No,4652,3583,128,360,1,Semiurban,Y,8235,High,Approved,Low Risk
LP001357,Male,Yes,0,Graduate,No,3816,754,160,360,1,Urban,Y,4570,Medium,Approved,Low Risk
LP001367,Male,Yes,1,Graduate,No,3052,1030,100,360,1,Urban,Y,4082,Medium,Approved,Low Risk
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y,12543,Very High,Approved,Low Risk
LP001370,Male,No,0,Not Graduate,,7333,0,120,360,1,Rural,N,7333,High,Rejected,Low Risk
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N,7400,High,Rejected,High Risk
LP001384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y,2825,Medium,Approved,Low Risk
LP001385,Male,No,0,Graduate,No,5316,0,136,360,1,Urban,Y,5316,High,Approved,Low Risk
LP001387,Female,Yes,0,Graduate,,2929,2333,139,360,1,Semiurban,Y,5262,High,Approved,Low Risk
LP001391,Male,Yes,0,Not Graduate,No,3572,4114,152,360,0,Rural,N,7686,High,Rejected,High Risk
LP001392,Female,No,1,Graduate,Yes,7451,0,128,360,1,Semiurban,Y,7451,High,Approved,Low Risk
LP001398,Male,No,0,Graduate,,5050,0,118,360,1,Semiurban,Y,5050,High,Approved,Low Risk
LP001401,Male,Yes,1,Graduate,No,14583,0,185,180,1,Rural,Y,14583,Very High,Approved,Low Risk
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y,5450,High,Approved,Low Risk
LP001405,Male,Yes,1,Graduate,No,2214,1398,85,360,1,Urban,Y,3612,Medium,Approved,Low Risk
LP001421,Male,Yes,0,Graduate,No,5568,2142,175,360,1,Rural,N,7710,High,Rejected,Low Risk
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y,10408,Very High,Approved,Low Risk
LP001426,Male,Yes,0,Graduate,No,5667,2667,180,360,1,Rural,Y,8334,High,Approved,Low Risk
LP001430,Female,No,0,Graduate,No,4166,0,44,360,1,Semiurban,Y,4166,Medium,Approved,Low Risk
LP001431,Female,No,0,Graduate,No,2137,8980,137,360,0,Semiurban,Y,11117,Very High,Approved,High Risk
LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y,2957,Medium,Approved,Low Risk
LP001439,Male,Yes,0,Not Graduate,No,4300,2014,194,360,1,Rural,Y,6314,High,Approved,Low Risk
LP001443,Female,No,0,Graduate,No,3692,0,93,360,1,Rural,Y,3692,Medium,Approved,Low Risk
LP001448,Male,Yes,3+,Graduate,No,23803,0,370,360,1,Rural,Y,23803,Very High,Approved,Low Risk
LP001449,Male,No,0,Graduate,No,3865,1640,128,360,1,Rural,Y,5505,High,Approved,Low Risk
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N,14363,Very High,Rejected,High Risk
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,1,Rural,N,8649,High,Rejected,Low Risk
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,1,Urban,Y,20166,Very High,Approved,Low Risk
LP001473,Male,No,0,Graduate,No,2014,1929,74,360,1,Urban,Y,3943,Medium,Approved,Low Risk
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y,2718,Medium,Approved,Low Risk
LP001482,Male,Yes,0,Graduate,Yes,3459,0,25,120,1,Semiurban,Y,3459,Medium,Approved,Low Risk
LP001487,Male,No,0,Graduate,No,4895,0,102,360,1,Semiurban,Y,4895,Medium,Approved,Low Risk
LP001488,Male,Yes,3+,Graduate,No,4000,7750,290,360,1,Semiurban,N,11750,Very High,Rejected,Low Risk
LP001489,Female,Yes,0,Graduate,No,4583,0,84,360,1,Rural,N,4583,Medium,Rejected,Low Risk
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y,6816,High,Approved,Low Risk
LP001492,Male,No,0,Graduate,No,14999,0,242,360,0,Semiurban,N,14999,Very High,Rejected,High Risk
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N,5630,High,Rejected,Low Risk
LP001497,Male,Yes,2,Graduate,No,5042,2083,185,360,1,Rural,N,7125,High,Rejected,Low Risk
LP001498,Male,No,0,Graduate,No,5417,0,168,360,1,Urban,Y,5417,High,Approved,Low Risk
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y,6950,High,Approved,Low Risk
LP001507,Male,Yes,0,Graduate,No,2698,2034,122,360,1,Semiurban,Y,4732,Medium,Approved,Low Risk
LP001508,Male,Yes,2,Graduate,No,11757,0,187,180,1,Urban,Y,11757,Very High,Approved,Low Risk
LP001514,Female,Yes,0,Graduate,No,2330,4486,100,360,1,Semiurban,Y,6816,High,Approved,Low Risk
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y,14866,Very High,Approved,Low Risk
LP001518,Male,Yes,1,Graduate,No,1538,1425,30,360,1,Urban,Y,2963,Medium,Approved,Low Risk
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N,11666,Very High,Rejected,Low Risk
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y,5690,High,Approved,Low Risk
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N,6277,High,Rejected,High Risk
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y,6327,High,Approved,Low Risk
LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N,9166,High,Rejected,Low Risk
LP001532,Male,Yes,2,Not Graduate,No,2281,0,113,360,1,Rural,N,2281,Low,Rejected,Low Risk
LP001535,Male,No,0,Graduate,No,3254,0,50,360,1,Urban,Y,3254,Medium,Approved,Low Risk
LP001536,Male,Yes,3+,Graduate,No,39999,0,600,180,0,Semiurban,Y,39999,Very High,Approved,High Risk
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,1,Rural,Y,6000,High,Approved,Low Risk
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y,9538,High,Approved,Low Risk
LP001546,Male,No,0,Graduate,,2980,2083,120,360,1,Rural,Y,5063,High,Approved,Low Risk
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y,10208,Very High,Approved,Low Risk
LP001560,Male,Yes,0,Not Graduate,No,1863,1041,98,360,1,Semiurban,Y,2904,Medium,Approved,Low Risk
LP001562,Male,Yes,0,Graduate,No,7933,0,275,360,1,Urban,N,7933,High,Rejected,Low Risk
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N,4369,Medium,Rejected,High Risk
LP001570,Male,Yes,2,Graduate,No,4167,1447,158,360,1,Rural,Y,5614,High,Approved,Low Risk
LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y,9323,High,Approved,Low Risk
LP001574,Male,Yes,0,Graduate,No,3707,3166,182,360,1,Rural,Y,6873,High,Approved,Low Risk
LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N,4583,Medium,Rejected,Low Risk
LP001578,Male,Yes,0,Graduate,No,2439,3333,129,360,1,Rural,Y,5772,High,Approved,Low Risk
LP001579,Male,No,0,Graduate,No,2237,0,63,480,0,Semiurban,N,2237,Low,Rejected,High Risk
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y,8000,High,Approved,Low Risk
LP001581,Male,Yes,0,Not Graduate,,1820,1769,95,360,1,Rural,Y,3589,Medium,Approved,Low Risk
LP001585,Male,Yes,3+,Graduate,No,51763,0,700,300,1,Urban,Y,51763,Very High,Approved,Low Risk
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N,3522,Medium,Rejected,Low Risk
LP001594,Male,Yes,0,Graduate,No,5708,5625,187,360,1,Semiurban,Y,11333,Very High,Approved,Low Risk
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736,87,360,1,Semiurban,N,5080,High,Rejected,Low Risk
LP001606,Male,Yes,0,Graduate,No,3497,1964,116,360,1,Rural,Y,5461,High,Approved,Low Risk
LP001608,Male,Yes,2,Graduate,No,2045,1619,101,360,1,Rural,Y,3664,Medium,Approved,Low Risk
LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N,16816,Very High,Rejected,High Risk
LP001616,Male,Yes,1,Graduate,No,3750,0,116,360,1,Semiurban,Y,3750,Medium,Approved,Low Risk
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N,3784,Medium,Rejected,High Risk
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N,13650,Very High,Rejected,High Risk
LP001634,Male,No,0,Graduate,No,1916,5063,67,360,1,Rural,N,6979,High,Rejected,Low Risk
LP001636,Male,Yes,0,Graduate,No,4600,0,73,180,1,Semiurban,Y,4600,Medium,Approved,Low Risk
LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N,33846,Very High,Rejected,Low Risk
LP001639,Female,Yes,0,Graduate,No,3625,0,108,360,1,Semiurban,Y,3625,Medium,Approved,Low Risk
LP001640,Male,Yes,0,Graduate,Yes,39147,4750,120,360,1,Semiurban,Y,43897,Very High,Approved,Low Risk
LP001641,Male,Yes,1,Graduate,Yes,2178,0,66,300,0,Rural,N,2178,Low,Rejected,High Risk
LP001643,Male,Yes,0,Graduate,No,2383,2138,58,360,1,Rural,Y,4521,Medium,Approved,Low Risk
LP001644,Male,Yes,0,Graduate,Yes,674,5296,168,360,1,Rural,Y,5970,High,Approved,Low Risk
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y,9328,High,Approved,Low Risk
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y,4885,Medium,Approved,Low Risk
LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N,12000,Very High,Rejected,Low Risk
LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N,6033,High,Rejected,Low Risk
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y,3858,Medium,Approved,Low Risk
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y,4191,Medium,Approved,Low Risk
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N,5708,High,Rejected,Low Risk
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y,12083,Very High,Approved,Low Risk
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,360,1,Urban,Y,4272,Medium,Approved,Low Risk
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,1,Semiurban,Y,6232,High,Approved,Low Risk
LP001673,Male,No,0,Graduate,Yes,11000,0,83,360,1,Urban,N,11000,Very High,Rejected,Low Risk
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y,5100,High,Approved,Low Risk
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Y,4923,Medium,Approved,High Risk
LP001682,Male,Yes,3+,Not Graduate,No,3992,0,128,180,1,Urban,N,3992,Medium,Rejected,Low Risk
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y,4583,Medium,Approved,Low Risk
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y,3917,Medium,Approved,Low Risk
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y,4408,Medium,Approved,Low Risk
LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Y,3244,Medium,Approved,Low Risk
LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Y,6506,High,Approved,Low Risk
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Y,2479,Low,Approved,Low Risk
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N,3418,Medium,Rejected,Low Risk
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N,10000,Very High,Rejected,Low Risk
LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N,4680,Medium,Rejected,High Risk
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y,7787,High,Approved,Low Risk
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Y,5703,High,Approved,Low Risk
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y,6194,High,Approved,Low Risk
LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Y,4833,Medium,Approved,Low Risk
LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N,1950,Low,Rejected,Low Risk
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Y,5502,High,Approved,Low Risk
LP001732,Male,Yes,2,Graduate,,5000,0,72,360,0,Semiurban,N,5000,High,Rejected,High Risk
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,1,Semiurban,Y,6666,High,Approved,Low Risk
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N,2221,Low,Rejected,High Risk
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y,5726,High,Approved,Low Risk
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Y,5762,High,Approved,Low Risk
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,360,1,Semiurban,Y,8588,High,Approved,Low Risk
LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Y,6250,High,Approved,Low Risk
LP001751,Male,Yes,0,Graduate,No,3250,0,170,360,1,Rural,N,3250,Medium,Rejected,Low Risk
LP001754,Male,Yes,0,Not Graduate,Yes,4735,0,138,360,1,Urban,N,4735,Medium,Rejected,Low Risk
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Y,7945,High,Approved,Low Risk
LP001760,Male,Yes,0,Graduate,No,4758,0,158,480,1,Semiurban,Y,4758,Medium,Approved,Low Risk
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y,6400,High,Approved,Low Risk
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Y,4545,Medium,Approved,Low Risk
LP001768,Male,Yes,0,Graduate,,3716,0,42,180,1,Rural,Y,3716,Medium,Approved,Low Risk
LP001770,Male,No,0,Not Graduate,No,3189,2598,120,360,1,Rural,Y,5787,High,Approved,Low Risk
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Y,8333,High,Approved,Low Risk
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y,4934,Medium,Approved,Low Risk
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y,6760,High,Approved,Low Risk
LP001786,Male,Yes,0,Graduate,,5746,0,255,360,1,Urban,N,5746,High,Rejected,Low Risk
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,1,Urban,Y,3463,Medium,Approved,Low Risk
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y,3812,Medium,Approved,Low Risk
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Y,3315,Medium,Approved,Low Risk
LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Y,10819,Very High,Approved,Low Risk
LP001800,Male,Yes,1,Not Graduate,No,2510,1983,140,180,1,Urban,N,4493,Medium,Rejected,Low Risk
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y,8666,High,Approved,Low Risk
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y,7550,High,Approved,Low Risk
